Plant_ID	Experiment	Line	Site	Block	Cohort
8_0433	ecotypes	JAM.22.A	Par	8_10	2008
8_0434	ecotypes	MIL.54.A	Par	8_10	2008
8_0435	ecotypes	PAR.21.B2	Par	8_10	2008
8_0436	ecotypes	MIL.24.A	Par	8_10	2008
8_0437	ecotypes	PAR.13.A	Par	8_10	2008
8_0438	ecotypes	PAR.10.A6	Par	8_10	2008
8_0439	ecotypes	SILLow.7	Par	8_10	2008
8_0440	ecotypes	PAR.19.B	Par	8_10	2008
8_0441	ecotypes	MIL.50.A	Par	8_10	2008
8_0442	ecotypes	JAM.40.A	Par	8_10	2008
8_0443	ecotypes	JAM.26.A	Par	8_10	2008
8_0444	ecotypes	MAH.48.A	Par	8_10	2008
8_0445	ecotypes	SILupper.2	Par	8_10	2008
8_0446	ecotypes	JAM.19.B	Par	8_10	2008
8_0447	ecotypes	JAM.1.A	Par	8_10	2008
8_0448	ecotypes	MAH.46.A	Par	8_10	2008
8_0449	ecotypes	PAR.7.B1	Par	8_10	2008
8_0450	ecotypes	MIL.32.A1	Par	8_10	2008
8_0451	ecotypes	SILLow.8	Par	8_10	2008
8_0452	ecotypes	MAH.13.A	Par	8_10	2008
8_0453	ecotypes	MIL.21.B2	Par	8_10	2008
8_0454	ecotypes	MAH.38.B	Par	8_10	2008
8_0455	ecotypes	MAH.16.A	Par	8_10	2008
8_0456	ecotypes	SILLow.2	Par	8_10	2008
8_0457	ecotypes	JAM.16.A	Par	8_10	2008
8_0458	ecotypes	MIL.68.B	Par	8_10	2008
8_0459	ecotypes	SILLow.3	Par	8_10	2008
8_0460	ecotypes	MAH.11.A	Par	8_10	2008
8_0461	ecotypes	MAH.9.B	Par	8_10	2008
8_0462	ecotypes	JAM.7.B	Par	8_10	2008
8_0463	ecotypes	SILLow.5	Par	8_10	2008
8_0464	ecotypes	MAH.8.A1	Par	8_10	2008
